S. No.,Project_ID,BOM_ID,Project_Title,AllocationStartDate,AllocationEndDate,AWS_Account_ID,AWS_Account_Name,Resource_Name,Instance_Type,Number_Of_Instances,Number_Of_GPUs,DailyHours,usage_date
1,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,1609,23-Dec-25
2,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,24-Dec-25
3,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,25-Dec-25
4,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,26-Dec-25
5,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,27-Dec-25
6,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,28-Dec-25
7,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,29-Dec-25
8,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,30-Dec-25
9,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,31-Dec-25
10,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,01-Jan-26
11,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,02-Jan-26
12,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,03-Jan-26
13,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,04-Jan-26
14,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,05-Jan-26
15,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,06-Jan-26
16,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,07-Jan-26
17,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,08-Jan-26
18,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,09-Jan-26
19,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,10-Jan-26
20,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,11-Jan-26
21,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,12-Jan-26
22,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,13-Jan-26
23,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,14-Jan-26
24,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,15-Jan-26
25,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,16-Jan-26
26,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,17-Jan-26
27,P2-G2025111479,B2-G2025111479,BharatGen: A Suite of Generative AI Tech for India,23-Dec-25,31-Mar-26,992382472282,IAI-BG-Compute,APS3-Cluster:ml.p5.48xlarge,ml.p5.48xlarge-Cluster,87,696,2088,18-Jan-26
